        4629           2          20
Tue Oct 25 03:38:30 2005
nirspec_drtau_glue.dat

Full Nirspec spectrum of drtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
drtau_coice_dec02.dat 2 0.400000 0.958951
drtau_coice+_dec02.dat 2 0.600000 0.958951
drtau_cop_dec02.dat 3 0.400000 1.26488
drtau_cop+_dec02.dat 3 0.600000 1.23907

     Wavelength     Flux
         um          Jy
 
  4.6959724E+00  1.2808089E+00
  4.6960664E+00  1.2700026E+00
  4.6961603E+00  1.3213998E+00
  4.6962543E+00  1.3464013E+00
  4.6963482E+00  1.3472342E+00
  4.6964421E+00  1.3348879E+00
  4.6965361E+00  1.3182818E+00
  4.6966300E+00  1.3198673E+00
  4.6967239E+00  1.3059026E+00
  4.6968179E+00  1.2963359E+00
  4.6969118E+00  1.2951945E+00
  4.6970057E+00  1.2821707E+00
  4.6970997E+00  1.2702949E+00
  4.6971936E+00  1.2746484E+00
  4.6972876E+00  1.2887347E+00
  4.6973815E+00  1.2883555E+00
  4.6974754E+00  1.2893897E+00
  4.6975694E+00  1.2780354E+00
  4.6976633E+00  1.2618157E+00
  4.6977572E+00  1.2609751E+00
  4.6978512E+00  1.2664670E+00
  4.6979451E+00  1.2714425E+00
  4.6980391E+00  1.2850263E+00
  4.6981330E+00  1.2813908E+00
  4.6982269E+00  1.2800938E+00
  4.6983209E+00  1.2949321E+00
  4.6984148E+00  1.2902045E+00
  4.6985087E+00  1.2827795E+00
  4.6986027E+00  1.3054914E+00
  4.6986966E+00  1.3123618E+00
  4.6987910E+00  1.3074210E+00
  4.6988850E+00  1.3124865E+00
  4.6989789E+00  1.3094679E+00
  4.6990728E+00  1.3631476E+00
  4.6991668E+00  1.3641109E+00
  4.6992607E+00  1.3448024E+00
  4.6993546E+00  1.3747180E+00
  4.6994486E+00  1.4295629E+00
  4.6995425E+00  1.5085660E+00
  4.6996365E+00  1.5551978E+00
  4.6997309E+00  1.5636410E+00
  4.6998248E+00           -NaN
  4.6999187E+00           -NaN
  4.7000127E+00  1.5468071E+00
  4.7001066E+00  1.7348990E+00
  4.7002006E+00  2.1531641E+00
  4.7002945E+00  2.5806985E+00
  4.7003884E+00  2.6971259E+00
  4.7004828E+00  2.3291605E+00
  4.7005768E+00  1.8578912E+00
  4.7006707E+00  1.5936841E+00
  4.7007647E+00  1.4496293E+00
  4.7008586E+00  1.3866640E+00
  4.7009525E+00  1.3425674E+00
  4.7010469E+00  1.3151319E+00
  4.7011409E+00  1.3043662E+00
  4.7012348E+00  1.2985996E+00
  4.7013288E+00  1.3083693E+00
  4.7014227E+00  1.2900544E+00
  4.7015171E+00  1.2829524E+00
  4.7016110E+00  1.2867529E+00
  4.7017050E+00  1.2672343E+00
  4.7017989E+00  1.2870660E+00
  4.7018929E+00  1.3061960E+00
  4.7019873E+00  1.3189980E+00
  4.7020812E+00  1.3341223E+00
  4.7021751E+00  1.3166507E+00
  4.7022691E+00  1.3023933E+00
  4.7023630E+00  1.3145795E+00
  4.7024574E+00  1.2965071E+00
  4.7025514E+00  1.2682108E+00
  4.7026453E+00  1.2839749E+00
  4.7027392E+00  1.2966636E+00
  4.7028337E+00  1.2961321E+00
  4.7029276E+00  1.2991488E+00
  4.7030215E+00  1.2878153E+00
  4.7031155E+00  1.2759897E+00
  4.7032099E+00  1.2831903E+00
  4.7033038E+00  1.3165894E+00
  4.7033978E+00  1.3588685E+00
  4.7034917E+00  1.3757707E+00
  4.7035861E+00  1.3571153E+00
  4.7036800E+00  1.3823453E+00
  4.7037740E+00  1.3837651E+00
  4.7038684E+00  1.3567836E+00
  4.7039623E+00  1.3422216E+00
  4.7040563E+00  1.3158759E+00
  4.7041502E+00  1.3096267E+00
  4.7042446E+00  1.3084404E+00
  4.7043386E+00  1.3089436E+00
  4.7044325E+00  1.3100339E+00
  4.7045269E+00  1.3043668E+00
  4.7046208E+00  1.2964979E+00
  4.7047148E+00  1.2956526E+00
  4.7048092E+00  1.2909847E+00
  4.7049031E+00  1.2820843E+00
  4.7049971E+00  1.2771398E+00
  4.7050915E+00  1.2698432E+00
  4.7051854E+00  1.2832062E+00
  4.7052794E+00  1.2710036E+00
  4.7053738E+00  1.2832496E+00
  4.7054677E+00  1.2838820E+00
  4.7055621E+00  1.2860026E+00
  4.7056561E+00  1.3058037E+00
  4.7057500E+00  1.3028853E+00
  4.7058444E+00  1.2962058E+00
  4.7059383E+00  1.2766736E+00
  4.7060323E+00  1.2498972E+00
  4.7061267E+00  1.2751811E+00
  4.7062206E+00  1.2968249E+00
  4.7063150E+00  1.2937809E+00
  4.7064090E+00  1.2828325E+00
  4.7065029E+00  1.2882578E+00
  4.7065973E+00  1.2929233E+00
  4.7066913E+00  1.2905642E+00
  4.7067857E+00  1.2804110E+00
  4.7068796E+00  1.2782986E+00
  4.7069736E+00  1.2971563E+00
  4.7070680E+00  1.2843612E+00
  4.7071619E+00  1.2777308E+00
  4.7072563E+00  1.3013161E+00
  4.7073503E+00  1.3287911E+00
  4.7074447E+00  1.3466496E+00
  4.7075386E+00  1.3331492E+00
  4.7076325E+00  1.4151646E+00
  4.7077270E+00  1.5038762E+00
  4.7078209E+00  1.5773433E+00
  4.7079153E+00  1.5710855E+00
  4.7080092E+00  1.4832567E+00
  4.7081037E+00  1.3908372E+00
  4.7081976E+00  1.3689702E+00
  4.7082920E+00  1.3526163E+00
  4.7083859E+00  1.3192953E+00
  4.7084804E+00  1.3062397E+00
  4.7085743E+00  1.3708805E+00
  4.7086687E+00           -NaN
  4.7087626E+00           -NaN
  4.7088571E+00           -NaN
  4.7089510E+00  1.8980951E+00
  4.7090454E+00  2.3905337E+00
  4.7091393E+00  2.7624013E+00
  4.7092338E+00  2.7105567E+00
  4.7093277E+00  2.2988977E+00
  4.7094221E+00  1.8813038E+00
  4.7095160E+00  1.5900751E+00
  4.7096105E+00  1.4180841E+00
  4.7097044E+00  1.3611509E+00
  4.7097988E+00  1.3338196E+00
  4.7098927E+00  1.3212578E+00
  4.7099872E+00  1.3188905E+00
  4.7100816E+00  1.2742341E+00
  4.7101755E+00  1.2683336E+00
  4.7102699E+00  1.2683206E+00
  4.7103639E+00  1.2803859E+00
  4.7104583E+00  1.2775365E+00
  4.7105522E+00  1.2834874E+00
  4.7106466E+00  1.2931092E+00
  4.7107406E+00  1.2894098E+00
  4.7108350E+00  1.2851611E+00
  4.7109294E+00  1.3206279E+00
